Age,Gender,self_employed,family_history,treatment,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview
46,Male,Yes,Yes,No,Yes,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No,Yes,Yes,No
36,Male,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe
29,Male,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No
31,Male,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No
46,Male,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No
41,Male,No,No,Yes,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No
33,Male,No,Yes,Yes,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,Yes,Yes,No
35,Male,No,Yes,Yes,No,No,Yes,Yes,No,Don't know,No,Very easy,Yes,No,Some of them,Yes,No
33,Male,No,No,No,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No
35,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe
34,Male,No,No,Yes,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No
37,Male,No,No,No,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,Maybe,Some of them,No,No
32,Male,No,No,No,Yes,Yes,No,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No
31,Male,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No
30,Male,No,Yes,Yes,Yes,Yes,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No
